project_name,Missing Dependency,Missing Version,Missing Build,Missing Test,External Content
elementor,1,0,0,0,0
amazon-neptune-samples,0,0,0,1,0
Tangram-base,1,0,0,0,0
Tangram-component,0,0,0,1,1
Wallet,0,0,1,0,0
WebAudioEvaluationTool,0,1,0,0,0
chatgpt-subtitle-translator,1,0,0,0,0
node-huxley,1,0,0,0,0
meteor-promise,1,0,0,0,0
auctionhouse,0,0,0,0,1
learn-postgresql,0,1,0,0,0
eclairjs-node,1,0,0,0,0
meteor-famous-views,1,0,0,0,0
ScatterWebExtension,0,0,0,0,1
caliper-benchmarks,0,1,0,0,0
wordlists,0,0,0,1,0
CMS,1,0,0,0,0
vscode-anycode,0,0,0,1,1
npms-analyzer,0,0,0,1,0
hydra,1,0,0,0,0
openzeppelin-labs,0,1,1,0,0
calendar,1,0,0,0,0
richdocuments,0,0,1,0,0
PhaserEditor,0,1,0,0,0
ZeroToBlockchain,1,0,0,0,0
rhodes-system-api-samples,1,0,0,0,0
physical_ai_tools,0,0,0,1,1
SpaceTalk,1,0,0,0,0
kaikeba-code,0,0,0,1,0
nehan.js,0,0,0,1,0
telepat-api,1,0,0,0,0
meteor-router,0,0,1,1,0
muniverse,0,0,0,1,0
rest_in_place,0,1,0,0,0
qrev,0,1,0,0,1
NiL.JS,0,1,0,0,0
reviews,1,0,0,0,0
pwa-kit,0,1,0,0,0
mocha-casperjs,0,0,0,0,1
qwadmin,1,0,0,0,0
