project_name,Missing Dependency,Missing Version,Missing Build,Missing Test,External Content
titanium_desktop,0,1,0,0,0
FlagCX,0,0,0,1,0
parallel-rdp,0,0,0,1,0
metron,1,0,0,0,0
realtime_tools,0,1,0,1,0
filezilla,0,0,0,1,1
clang-llvm-tutorial,0,1,0,1,0
SX126x-Arduino,1,0,0,0,0
JAERO,1,0,0,0,0
flexisip,0,0,1,1,1
nanomap_ros,0,0,1,0,0
code_saturne,1,0,0,0,0
SlamBook,1,1,1,1,0
aubo_robot,0,0,1,0,0
Makeblock-Libraries,1,1,1,0,0
pycdc,1,0,0,0,0
oclint,1,0,1,0,1
fully-homomorphic-encryption,0,0,1,0,1
node-addon-api,1,0,0,0,0
cppast,1,0,0,0,0
pharos,0,0,0,1,1
creduce,0,0,1,1,0
cabin,0,1,1,0,0
pugixml,0,0,0,1,0
nzbget,1,0,0,0,0
impala,1,0,0,1,1
lexy,0,1,1,1,1
phasar,1,0,0,0,0
clp,1,0,0,0,0
ecnu-sa-labs,1,0,0,0,0
ik-geo,1,0,1,0,1
vision_msgs,1,1,1,1,0
rygel,0,1,1,0,1
gjs,0,0,0,0,1
choreonoid,0,0,0,1,0
ApertusVR,0,0,0,1,1
VisRTX,1,0,0,0,0
node-oracle,0,1,0,0,1
geodetic_utils,1,0,0,0,0
ui,0,0,0,0,1
