project_name,github_url
libdispatch,https://github.com/DrPizza/libdispatch
hammerhead,https://github.com/franciscofranco/hammerhead
gridengine,https://github.com/gridengine/gridengine
wiselib,https://github.com/ibr-alg/wiselib
dslib,https://github.com/jarun/dslib
duktape-esp32,https://github.com/nkolban/duktape-esp32
o2,https://github.com/o2-engine/o2
u-boot,https://github.com/rockchip-linux/u-boot
vbox,https://github.com/mirror/vbox
ccard-lib,https://github.com/chaoslawful/ccard-lib
dxgl,https://github.com/dxgldotorg/dxgl
scheme-for-max,https://github.com/iainctduncan/scheme-for-max
pcc,https://github.com/IanHarvey/pcc
urdma,https://github.com/zrlio/urdma
9legacy,https://github.com/0intro/9legacy
react-native-code-push,https://github.com/AppZung/react-native-code-push
CNMAT-Externs,https://github.com/CNMAT/CNMAT-Externs
apt-dater,https://github.com/DE-IBH/apt-dater
efl,https://github.com/Enlightenment/efl
MatrixPilot,https://github.com/MatrixPilot/MatrixPilot
toybox,https://github.com/gfto/toybox
synchdb,https://github.com/Hornetlabs/synchdb
sys,https://github.com/jeroen/sys
MicroModem,https://github.com/markqvist/MicroModem
open80211s,https://github.com/o11s/open80211s
Thetis,https://github.com/ramdor/Thetis
CFGgrind,https://github.com/rimsa/CFGgrind
libulz,https://github.com/rofl0r/libulz
Realking_kernel_sm8250,https://github.com/Rohail33/Realking_kernel_sm8250
ipxwrapper,https://github.com/solemnwarning/ipxwrapper
kernel,https://github.com/sonyxperiadev/kernel
rvcc,https://github.com/sunshaoce/rvcc
nesc,https://github.com/tinyos/nesc
tensile,https://github.com/absalomedia/tensile
dgsh,https://github.com/dspinellis/dgsh
labrea,https://github.com/dustin/labrea
QuIP,https://github.com/nasa/QuIP
igbinary,https://github.com/phadej/igbinary
kmemcache,https://github.com/Qihoo360/kmemcache
OpenDKIM,https://github.com/trusteddomainproject/OpenDKIM
