project_name,Missing Dependency,Missing Version,Missing Build,Missing Test,External Content
libdispatch,0,0,1,1,0
hammerhead,0,1,0,0,0
gridengine,1,0,0,0,0
wiselib,0,1,1,1,0
dslib,1,1,1,0,1
duktape-esp32,0,0,1,1,0
o2,0,0,1,1,0
u-boot,1,0,1,0,1
vbox,1,1,1,0,0
ccard-lib,0,0,1,0,1
dxgl,1,1,0,0,0
scheme-for-max,1,0,0,0,0
pcc,1,0,1,0,0
urdma,0,0,0,0,1
9legacy,0,0,0,1,0
react-native-code-push,0,0,1,1,0
CNMAT-Externs,0,0,1,0,0
apt-dater,1,0,0,0,0
efl,1,0,1,1,0
matrixPilot,1,0,0,0,0
toybox,0,0,1,1,0
synchdb,1,0,0,1,1
sys,0,0,1,1,1
MicroModem,1,0,1,0,0
open80211s,1,0,0,0,1
Thetis,0,0,1,0,0
CFGgrind,1,0,0,1,0
libulz,0,0,1,0,0
Realking_kernel_sm8250,1,0,0,1,0
ipxwrapper,1,0,0,0,0
kernel,0,0,0,0,1
rvcc,1,0,0,0,0
nesc,0,0,1,0,0
tensile,1,0,0,1,0
dgsh,1,0,1,1,0
labrea,0,1,1,0,1
QuIP,1,0,0,0,0
igbinary,1,0,0,1,0
kmemcache,1,1,0,1,0
OpenDKIM,1,0,1,0,1
