project_name,Missing Dependency,Missing Version,Missing Build,Missing Test,External Content
GearVRf-Demos,0,0,0,1,0
railo,0,0,0,1,0
Any-Angle-Pathfinding,0,0,0,1,0
SimFix,0,0,1,1,1
Cafe,0,0,0,0,1
connectbot,1,0,0,0,0
ForceDoze,0,0,1,0,0
ros2_java,0,0,0,1,0
dddplus-demo,0,0,0,1,0
SPADE,0,0,0,1,0
awips2,0,0,0,0,1
jnode,1,0,0,0,0
NER,0,0,0,1,0
3d-Skin-Layers,0,1,0,1,0
scipio-erp,0,0,0,0,1
JikesRVM,0,0,0,1,0
jcef,0,0,1,0,0
ruboto-irb,0,0,0,1,0
totallylazy,0,0,1,1,0
engine,1,0,0,0,0
phpstorm-psalm-plugin,0,1,0,0,0
constellation,0,0,0,1,0
JAuth,0,0,0,0,1
cryptography,0,0,0,1,0
bluetooth_gnss,1,0,0,0,0
tn5250j,1,0,0,0,0
ldapsdk,0,0,0,1,1
jaamsim,0,0,0,1,0
jnanomsg,1,0,0,0,0
RomRaider,0,0,1,0,0
E-Stega,0,0,1,1,0
unfolding,0,1,0,1,0
rules_jvm_external,0,1,0,0,0
CodeFuse-Query,1,0,0,1,1
allocation-instrumenter,0,0,1,0,0
secs4java8,0,0,0,0,1
Minecraft-Hack-BaseClient,1,1,0,0,0
bach,0,0,0,1,0
EntityCulling,1,0,0,0,1
ItemSwapper,0,0,0,0,1
