project_name,github_url
pokebot-gen3,https://github.com/40Cakes/pokebot-gen3
ok-end-field,https://github.com/AliceJump/ok-end-field
gasol-optimizer,https://github.com/costa-group/gasol-optimizer
emesene,https://github.com/emesene/emesene
ilastik,https://github.com/ilastik/ilastik
rhinomcp,https://github.com/jingcheng-chen/rhinomcp
Typhon,https://github.com/LamentXU123/Typhon
Blender-Texel-Density-Checker,https://github.com/mrven/Blender-Texel-Density-Checker
ok-script,https://github.com/ok-oldking/ok-script
pitivi,https://github.com/pitivi/pitivi
ProjectManager,https://github.com/randy3k/ProjectManager
py2app,https://github.com/ronaldoussoren/py2app
pycam,https://github.com/SebKuzminsky/pycam
sonic-utilities,https://github.com/sonic-net/sonic-utilities
MSMARCO,https://github.com/spacemanidol/MSMARCO
R2CNN_FPN_Tensorflow,https://github.com/yangxue0827/R2CNN_FPN_Tensorflow
anvil-level-design,https://github.com/alexjhetherington/anvil-level-design
Custom-vision-service-iot-edge-raspberry-pi,https://github.com/Azure-Samples/Custom-vision-service-iot-edge-raspberry-pi
android-xmrig-miner,https://github.com/ElijaxApps-org/android-xmrig-miner
patron,https://github.com/JeffVandrewJr/patron
AIDeveloper,https://github.com/maikherbig/AIDeveloper
Autopsy-Plugins,https://github.com/markmckinnon/Autopsy-Plugins
calibreserver,https://github.com/mutschler/calibreserver
epg,https://github.com/mxdabc/epg
vdsm,https://github.com/oVirt/vdsm
cwhy,https://github.com/plasma-umass/cwhy
ragdoll-maya,https://github.com/ragdolldynamics/ragdoll-maya
OJ,https://github.com/VNOI-Admin/OJ
AMaDiA,https://github.com/AstusRush/AMaDiA
NetSpeedTray,https://github.com/erez-c137/NetSpeedTray
LD,https://github.com/HikariTJU/LD
hypergrad,https://github.com/HIPS/hypergrad
rupo,https://github.com/IlyaGusev/rupo
MorphMan,https://github.com/kaegi/MorphMan
NeuroKit.py,https://github.com/neuropsychology/NeuroKit.py
mtmct,https://github.com/nolanzzz/mtmct
porepy,https://github.com/pmgbergen/porepy
WorkArena,https://github.com/ServiceNow/WorkArena
liujf69_Classic-Generative-Model, https://github.com/liujf69/Classic-Generative-Model
xiaomi_raw,https://github.com/syssi/xiaomi_raw
