project_name,Missing Dependency,Missing Version,Missing Build,Missing Test,External Content
pokebot-gen3,0,0,1,1,1
ok-end-field,1,0,0,1,0
gasol-optimizer,1,0,0,1,1
emesene,0,1,0,1,1
ilastik,0,0,0,0,1
rhinomcp,0,0,1,0,1
Typhon,0,0,1,0,0
Blender-Texel-Density-Checker,0,0,0,1,1
ok-script,0,0,0,1,0
pitivi,1,0,0,1,1
ProjectManager,0,0,0,1,1
py2app,1,0,1,0,1
pycam,0,0,1,1,1
sonic-utilities,0,0,0,0,1
MSMARCO,1,1,1,1,1
R2CNN_FPN_Tensorflow,1,1,0,1,0
anvil-level-design,1,0,0,0,1
Custom-vision-service-iot-edge-raspberry-pi,1,0,0,1,0
android-xmrig-miner,1,0,0,0,0
patron,0,1,1,0,1
AIDeveloper,1,1,1,1,1
Autopsy-Plugins,1,1,0,0,0
calibreserver,1,0,1,0,0
epg,1,0,0,0,1
vdsm,0,1,0,0,1
cwhy,1,0,0,1,0
ragdoll-maya,1,0,0,1,0
OJ,1,1,1,0,1
AMaDiA,0,0,1,0,1
NetSpeedTray,1,0,1,0,1
LD,0,1,1,1,1
hypergrad,0,0,0,0,1
rupo,1,0,0,1,0
MorphMan,1,1,0,0,1
NeuroKit.py,0,0,1,1,0
mtmct,0,0,1,0,0
porepy,1,0,0,1,1
WorkArena,0,0,0,0,1
Classic-Generative-Model,1,0,0,0,1
xiaomi_raw,1,0,1,0,1
